nume_actiune,timestamp
login_utilizator,2026-06-05T02:02:43
login_utilizator,2026-06-05T10:18:20
login_utilizator,2026-06-05T10:27:19
login_utilizator,2026-06-05T10:38:26
afisare_toti_utilizatorii,2026-06-05T10:38:31
login_utilizator,2026-06-05T10:42:00
logout_utilizator,2026-06-05T10:42:28
login_utilizator,2026-06-05T10:44:07
deschidere_cont_nou,2026-06-05T10:44:34
cautare_dosar_client,2026-06-05T10:44:52
logout_utilizator,2026-06-05T10:45:14
login_utilizator,2026-06-05T10:45:28
afisare_conturi_client,2026-06-05T10:45:37
inregistrare_client,2026-06-05T10:55:35
login_utilizator,2026-06-05T10:56:18
deschidere_cont_nou,2026-06-05T10:56:47
logout_utilizator,2026-06-05T10:56:59
login_utilizator,2026-06-05T10:57:08
afisare_conturi_client,2026-06-05T10:57:11
login_utilizator,2026-06-05T10:59:58
login_utilizator,2026-06-05T11:03:09
transfer_bancar,2026-06-05T11:03:22
generare_extras_cont,2026-06-05T11:03:44
login_utilizator,2026-06-05T11:06:04
afisare_conturi_client,2026-06-05T11:06:05
generare_extras_cont,2026-06-05T11:06:13
logout_utilizator,2026-06-05T11:06:41
login_utilizator,2026-06-05T11:06:52
afisare_conturi_client,2026-06-05T11:06:56
transfer_bancar,2026-06-05T11:07:31
generare_extras_cont,2026-06-05T11:07:40
logout_utilizator,2026-06-05T11:08:00
login_utilizator,2026-06-05T11:08:15
raport_top_clienti,2026-06-05T11:08:19
login_utilizator,2026-06-05T11:10:11
raport_top_clienti,2026-06-05T11:10:14
login_utilizator,2026-06-05T11:11:04
raport_top_clienti,2026-06-05T11:11:08
audit_extras_cont,2026-06-05T11:11:55
logout_utilizator,2026-06-05T11:13:15
login_utilizator,2026-06-05T11:13:34
deschidere_cont_nou,2026-06-05T11:13:51
inchidere_cont,2026-06-05T11:14:08
logout_utilizator,2026-06-05T11:14:15
login_utilizator,2026-06-05T11:14:24
afisare_conturi_client,2026-06-05T11:14:27
transfer_bancar,2026-06-05T11:16:37
afisare_conturi_client,2026-06-05T11:17:02
logout_utilizator,2026-06-05T11:17:44
